2017-03-22 10:50:13,812 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 is missing, no dependency information available
2017-03-22 10:50:13,824 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:tomcat7-maven-plugin:2.2: Plugin org.apache.maven.plugins:tomcat7-maven-plugin:2.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 has not been downloaded from it before.
2017-03-22 10:50:13,837 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 is missing, no dependency information available
2017-03-22 10:50:13,847 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:tomcat7-maven-plugin:2.2: Plugin org.apache.maven.plugins:tomcat7-maven-plugin:2.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:tomcat7-maven-plugin:jar:2.2 has not been downloaded from it before.
2017-03-22 10:50:13,860 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 10:50:14,268 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 10:50:14,275 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 10:50:14,277 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 10:50:14,283 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 10:57:10,125 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: DemoSpringMVC:SpingMVCHelloWord:0.0.1-SNAPSHOT @ D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\pom.xml.
